address_id,house_number,street,zip_code,city,state
234208769,3861,Oak Valley,64199,Kansas City,MO
432536462,48,Anzinger,15279,Pittsburgh,PA
850766769,5,Lotheville,84110,Salt Lake City,UT
177936777,5094,Dunning,77255,Houston,TX
781670880,9,3rd,33013,Hialeah,FL
801228923,417,Brickson Park,98175,Seattle,WA
109926078,5,Algoma,11388,Flushing,NY
279562207,57744,Northland,91205,Glendale,CA
747211521,15864,La Follette,45203,Cincinnati,OH
979658331,147,Mallory,77020,Houston,TX
334028001,57,Kinsman,34620,Clearwater,FL
393725887,472,Farwell,33673,Tampa,FL
383109722,23883,Claremont,72215,Little Rock,AR
245304053,8,Columbus,74184,Tulsa,OK
875521635,316,Dexter,32813,Orlando,FL
453282920,727,Forest Dale,71130,Shreveport,LA
387575164,2417,Almo,38181,Memphis,TN
795523878,63916,East,30301,Atlanta,GA
821981401,721,Knutson,38197,Memphis,TN
385232397,7,Graceland,78764,Austin,TX
873879094,93,Springview,55480,Minneapolis,MN
457608007,52407,Meadow Ridge,38104,Memphis,TN
646843344,723,Clarendon,8608,Trenton,NJ
871057643,1,Doe Crossing,46620,South Bend,IN
781849852,8,Bluejay,45414,Dayton,OH
631775980,72043,Autumn Leaf,44905,Mansfield,OH
779620511,46078,Swallow,23471,Virginia Beach,VA
793857486,4,Raven,20420,Washington,DC
862573900,78,Canary,18768,Wilkes Barre,PA
924788526,26,Marquette,33069,Pompano Beach,FL
979740549,7,Pankratz,37995,Knoxville,TN
192575651,134,Huxley,88563,El Paso,TX
674684413,85629,Hovde,33610,Tampa,FL
871957849,317,Jay,77045,Houston,TX
503355093,64937,Blaine,60663,Chicago,IL
195713724,96,Pepper Wood,83732,Boise,ID
645624181,8,Bowman,71115,Shreveport,LA
291478096,89,Londonderry,24029,Roanoke,VA
261415600,606,Fisk,88535,El Paso,TX
947052244,166,Kim,11499,Jamaica,NY
161686049,774,Luster,53220,Milwaukee,WI
112752715,74,Hauk,66629,Topeka,KS
384396847,9,Comanche,65211,Columbia,MO
239007030,126,Elmside,39210,Jackson,MS
214624386,3053,Washington,35242,Birmingham,AL
900555895,4391,Schmedeman,65810,Springfield,MO
136916657,4,Bayside,92867,Orange,CA
492350619,6697,Northland,77223,Houston,TX
990198232,347,Roth,32118,Daytona Beach,FL
364456328,8866,Knutson,84605,Provo,UT
226494929,62,Grover,77705,Beaumont,TX
962643631,12296,Gerald,45490,Dayton,OH
458088781,1118,Caliangt,32225,Jacksonville,FL
196014893,744,Cambridge,64136,Kansas City,MO
133608885,1993,Carioca,89110,Las Vegas,NV
344397388,8341,Eastwood,78721,Austin,TX
910381400,675,Twin Pines,25726,Huntington,WV
158537133,5,Claremont,15279,Pittsburgh,PA
595841556,6501,Trailsway,37931,Knoxville,TN
515268731,422,Debra,10270,New York City,NY
538075585,35,Oxford,85210,Mesa,AZ
122510656,51,Oak,66611,Topeka,KS
247772317,7891,Superior,54313,Green Bay,WI
483493108,60207,Bluestem,79105,Amarillo,TX
568661669,934,Becker,39505,Gulfport,MS
492205036,519,American,33972,Lehigh Acres,FL
157694731,58609,Sachs,33448,Delray Beach,FL
633231523,792,Caliangt,60614,Chicago,IL
805205809,776,Sauthoff,78225,San Antonio,TX
276918740,11485,Katie,214,Portsmouth,NH
325119718,7985,Dunning,77806,Bryan,TX
436740542,16311,Moulton,70165,New Orleans,LA
385468238,9614,Buell,41905,Migrate,KY
249134672,53244,Melody,16565,Erie,PA
186135495,3,Michigan,93740,Fresno,CA
245618435,9876,Gale,37220,Nashville,TN
155642214,94,Porter,10280,New York City,NY
730516796,15,Declaration,23436,Suffolk,VA
603076445,3,Golf Course,36125,Montgomery,AL
604236052,1448,Hintze,70815,Baton Rouge,LA
267025540,93,Lunder,43615,Toledo,OH
385252149,59760,Sauthoff,88546,El Paso,TX
391585340,3759,Carey,70820,Baton Rouge,LA
716193105,770,Novick,70593,Lafayette,LA
543323042,39,Carioca,89110,Las Vegas,NV
233739547,48209,Weeping Birch,1152,Springfield,MA
504332070,26,Ramsey,36114,Montgomery,AL
187562954,714,Rowland,33467,Lake Worth,FL
347903509,5709,Myrtle,43605,Toledo,OH
370601273,8,Derek,60630,Chicago,IL
488716554,57,Corscot,77075,Houston,TX
274114555,4,Talmadge,52809,Davenport,IA
882947588,450,Oak,25775,Huntington,WV
192272203,2328,Mallard,46862,Fort Wayne,IN
703992715,2273,Birchwood,20029,Washington,DC
282766257,3935,Oak Valley,63121,Saint Louis,MO
452083480,338,Butternut,85077,Phoenix,AZ
888767797,51,Kenwood,33462,Lake Worth,FL
151464154,2,Fairview,28205,Charlotte,NC
286446025,64001,Goodland,19805,Wilmington,DE
299152869,356,Bultman,87105,Albuquerque,NM
672709669,19003,Acker,24040,Roanoke,VA
774446587,4588,Kropf,20557,Washington,DC
920972886,5491,Westerfield,77025,Houston,TX
569876150,10,Russell,95194,San Jose,CA
685618381,667,Dennis,33111,Miami,FL
120745194,97700,Oak Valley,20210,Washington,DC
806031375,35,Declaration,78205,San Antonio,TX
815484502,8422,Havey,77025,Houston,TX
898123515,5,Green,10454,Bronx,NY
530257658,259,Homewood,79182,Amarillo,TX
174554178,47092,Anthes,97286,Portland,OR
187361785,828,Blaine,34985,Port Saint Lucie,FL
483105746,382,Boyd,80279,Denver,CO
549679257,170,Hudson,87180,Albuquerque,NM
275244265,4,Logan,79176,Amarillo,TX
941260188,2725,Dawn,45505,Springfield,OH
676077157,58956,Cambridge,94975,Petaluma,CA
479158921,5884,Superior,18706,Wilkes Barre,PA
603841503,11955,Tennessee,57105,Sioux Falls,SD
888200622,6,Reinke,20244,Washington,DC
360628820,794,Dexter,79176,Amarillo,TX
837759116,43,Maryland,95852,Sacramento,CA
602968993,41872,Dryden,92867,Orange,CA
799340158,24,Vernon,20231,Washington,DC
643529779,4,Ohio,3105,Manchester,NH
712777455,823,Longview,59771,Bozeman,MT
641384696,41,Jenna,33633,Tampa,FL
865292417,7,Bartelt,44505,Youngstown,OH
333014605,577,Sutteridge,80228,Denver,CO
977857184,538,Village,55551,Young America,MN
408353398,20,Grim,92186,San Diego,CA
178457749,4,Marquette,78759,Austin,TX
392414933,223,Crest Line,92105,San Diego,CA
201321411,71641,Larry,87505,Santa Fe,NM
735978149,9,Schmedeman,44905,Mansfield,OH
191480168,2999,Harper,63126,Saint Louis,MO
901373896,19733,Bowman,84115,Salt Lake City,UT
371511320,6241,Independence,92710,Irvine,CA
654581520,23,Northridge,94913,San Rafael,CA
195409213,7212,Goodland,38168,Memphis,TN
174612053,29,Hauk,58122,Fargo,ND
456903147,72,Oneill,45426,Dayton,OH
923781454,2,Florence,10203,New York City,NY
850696824,488,Fisk,33111,Miami,FL
391887757,354,Esker,79950,El Paso,TX
331571935,1,Delaware,11247,Brooklyn,NY
319737343,72,Westerfield,60619,Chicago,IL
176422540,64623,Claremont,31410,Savannah,GA
168177809,5454,Hansons,74133,Tulsa,OK
202007110,82,Sachtjen,85754,Tucson,AZ
906905364,1800,Melody,20167,Sterling,VA
803552790,726,Brown,32204,Jacksonville,FL
509612405,81197,Summerview,66225,Shawnee Mission,KS
607717607,5390,Helena,75221,Dallas,TX
808648550,572,Russell,68524,Lincoln,NE
139306288,875,Maryland,37220,Nashville,TN
914716709,9373,Derek,85260,Scottsdale,AZ
562495085,5925,Shopko,45408,Dayton,OH
725383159,64,1st,62705,Springfield,IL
652250618,8685,Westerfield,95173,San Jose,CA
696086908,99,Moulton,63126,Saint Louis,MO
661045437,6566,Rowland,10464,Bronx,NY
129932164,512,Hanover,95155,San Jose,CA
453714437,86,Bartillon,35815,Huntsville,AL
330915954,3734,Mcguire,29905,Beaufort,SC
226733836,13067,Holmberg,23228,Richmond,VA
247669298,785,Melby,55448,Minneapolis,MN
265276751,14,Onsgard,53215,Milwaukee,WI
556250136,22,Moland,32854,Orlando,FL
984072695,36268,Vernon,71115,Shreveport,LA
943213683,6783,Kensington,17126,Harrisburg,PA
554719378,8384,Lyons,14619,Rochester,NY
394969406,76,Fairfield,45243,Cincinnati,OH
859908895,3349,Rieder,1114,Springfield,MA
650639761,18108,Golden Leaf,77505,Pasadena,TX
368528341,125,Valley Edge,79410,Lubbock,TX
291374432,66,Farragut,94280,Sacramento,CA
135043860,93,Prairieview,80995,Colorado Springs,CO
348824380,4232,Autumn Leaf,70005,Metairie,LA
176721833,0,Miller,55412,Minneapolis,MN
713867002,4416,Thierer,75210,Dallas,TX
521351606,59285,Crest Line,93740,Fresno,CA
224737570,91315,Bay,20420,Washington,DC
561544211,15,Waywood,60652,Chicago,IL
448377314,76992,Grim,95298,Stockton,CA
917745601,511,Mayfield,20456,Washington,DC
784547127,22297,Di Loreto,1610,Worcester,MA
959598257,2749,Kingsford,11447,Jamaica,NY
658089878,5045,Pepper Wood,70165,New Orleans,LA
132700897,6492,Tomscot,37131,Murfreesboro,TN
187243831,702,Northland,20546,Washington,DC
952129408,70,Garrison,78721,Austin,TX
422179050,3322,Kinsman,6145,Hartford,CT
280618835,577,Stuart,89706,Carson City,NV
100614503,39,Crest Line,27415,Greensboro,NC
790619888,483,Buell,46867,Fort Wayne,IN
596126767,24563,Hayes,80291,Denver,CO
703091928,4,Northport,77493,Katy,TX
250133512,7677,Anthes,20910,Silver Spring,MD
899673308,38,Lakewood Gardens,13251,Syracuse,NY
461456895,63573,Dunning,23705,Portsmouth,VA
306012206,5,Karstens,32220,Jacksonville,FL
640736216,814,Moulton,6912,Stamford,CT
602430206,56970,Texas,23514,Norfolk,VA
342582802,3504,Armistice,98464,Tacoma,WA
155783101,147,Grasskamp,64101,Kansas City,MO
455852710,46,Nelson,80204,Denver,CO
332429652,12032,Bay,99709,Fairbanks,AK
837471525,78,Lukken,78291,San Antonio,TX
105873735,39,Luster,2119,Boston,MA
140397577,4117,Blackbird,75241,Dallas,TX
201770136,18923,Bay,20508,Washington,DC
325178163,898,Esch,33175,Miami,FL
895423404,8,Pawling,45233,Cincinnati,OH
837574866,47,Gateway,33190,Miami,FL
842328122,7,Mesta,94622,Oakland,CA
980856110,9714,Warbler,20397,Washington,DC
795006187,26,Corry,43615,Toledo,OH
364549828,6,North,20167,Sterling,VA
501433541,17,4th,29416,Charleston,SC
976568335,30,Farwell,23242,Richmond,VA
825367539,6,Mesta,91210,Glendale,CA
652030885,82584,Ilene,80126,Littleton,CO
216081994,5199,Kinsman,29215,Columbia,SC
872170532,3,Anniversary,18514,Scranton,PA
445987336,90,Manitowish,33805,Lakeland,FL
454953446,3975,Sloan,30375,Atlanta,GA
473084999,95,Bunting,44130,Cleveland,OH
925081968,3712,Elgar,22036,Fairfax,VA
181068035,9,Ridge Oak,33686,Tampa,FL
436490409,28379,Fairfield,92415,San Bernardino,CA
554325725,477,Rockefeller,73157,Oklahoma City,OK
363670949,42,North,31296,Macon,GA
854561560,85674,Almo,44125,Cleveland,OH
399421920,9230,Huxley,63126,Saint Louis,MO
300690367,93,Express,12255,Albany,NY
546607726,0,Haas,66225,Shawnee Mission,KS
507307994,687,Claremont,37240,Nashville,TN
163612084,4,Nevada,77060,Houston,TX
107966947,34563,Brickson Park,70607,Lake Charles,LA
947318408,3449,Di Loreto,84403,Ogden,UT
983040224,4630,Truax,33124,Miami,FL
538632731,32520,Goodland,54915,Appleton,WI
549804390,44,Grasskamp,14220,Buffalo,NY
894186623,345,Mayer,79105,Amarillo,TX
661886261,297,Maywood,37210,Nashville,TN
804031743,937,Kinsman,24014,Roanoke,VA
320437765,5,Schiller,19104,Philadelphia,PA
855201494,4,Ramsey,75251,Dallas,TX
580040035,87,Rieder,89510,Reno,NV
566573288,279,Fair Oaks,25709,Huntington,WV
936496324,820,Eggendart,33129,Miami,FL
780941109,42358,Pennsylvania,97075,Beaverton,OR
283319413,8,Roth,20051,Washington,DC
953347639,98080,Drewry,92505,Riverside,CA
417424808,5,Truax,87121,Albuquerque,NM
740229677,93,Sachtjen,23203,Richmond,VA
307018601,9,Vera,76205,Denton,TX
892952830,8,Center,92705,Santa Ana,CA
146906982,40,Loeprich,37131,Murfreesboro,TN
754904710,36360,Maryland,23454,Virginia Beach,VA
429776865,136,Sachtjen,77250,Houston,TX
404227378,0,Cody,92662,Newport Beach,CA
140616985,41,Stephen,94121,San Francisco,CA
367777755,38119,Center,37939,Knoxville,TN
213606732,5715,Hermina,90305,Inglewood,CA
961166058,4,Pleasure,88584,El Paso,TX
518277884,9277,Reinke,40266,Louisville,KY
438344540,142,Jenifer,61110,Rockford,IL
942152002,2936,Mccormick,59806,Missoula,MT
439119826,638,Hauk,21684,Ridgely,MD
165779758,4617,Express,36622,Mobile,AL
809277326,7134,Bayside,1654,Worcester,MA
904697516,515,Warner,92424,San Bernardino,CA
539205793,465,Garrison,49006,Kalamazoo,MI
733699544,9804,Towne,98185,Seattle,WA
904970210,8,Meadow Vale,15279,Pittsburgh,PA
718783026,4,Ramsey,78240,San Antonio,TX
503930834,7490,Fairview,6922,Stamford,CT
126897538,20,6th,2163,Boston,MA
512813788,393,Hoard,75185,Mesquite,TX
223310694,455,Mesta,45426,Dayton,OH
652349959,39207,Lukken,78230,San Antonio,TX
730761588,6294,Clove,60614,Chicago,IL
551083672,669,Merry,80299,Denver,CO
933193020,267,Clarendon,13251,Syracuse,NY
205217498,82666,East,40586,Lexington,KY
229908188,5,Sachs,80204,Denver,CO
970113813,0,Lerdahl,32505,Pensacola,FL
435164977,548,Dakota,53263,Milwaukee,WI
815984108,922,Kedzie,52245,Iowa City,IA
524943822,5,Swallow,75251,Dallas,TX
124343403,892,Algoma,46814,Fort Wayne,IN
270482772,973,Golf Course,34114,Naples,FL
524392280,667,Moulton,38308,Jackson,TN
542603884,473,Calypso,74170,Tulsa,OK
939066575,442,Union,20195,Reston,VA
343981269,23,Harbort,44118,Cleveland,OH
218806193,6,Westerfield,25389,Charleston,WV
779046163,24,Mallard,23213,Richmond,VA
990535542,33028,Gina,19172,Philadelphia,PA
550247969,6,Shoshone,96850,Honolulu,HI
167624923,91,Corben,94286,Sacramento,CA
827247165,6171,Longview,55579,Maple Plain,MN
936759928,68607,Buhler,83722,Boise,ID
139397793,4,Roth,28815,Asheville,NC
573223609,53,Anniversary,10120,New York City,NY
769969349,3929,Novick,15240,Pittsburgh,PA
137693977,197,Meadow Ridge,93005,Ventura,CA
534487560,670,Northwestern,77250,Houston,TX
194580377,246,Washington,99215,Spokane,WA
644735137,47,Michigan,27658,Raleigh,NC
489864484,1,Sage,98442,Tacoma,WA
191731996,4361,Knutson,33620,Tampa,FL
381491562,4798,Anniversary,92862,Orange,CA
373920089,635,Sunfield,33330,Fort Lauderdale,FL
326740081,667,Welch,34135,Bonita Springs,FL
709548490,817,Elmside,75231,Dallas,TX
605981831,15,Monument,98133,Seattle,WA
450507038,635,Di Loreto,37240,Nashville,TN
652593155,23,Muir,11480,Jamaica,NY
733443548,4,Victoria,61635,Peoria,IL
169415849,9828,Ramsey,87115,Albuquerque,NM
363725727,730,Lindbergh,48206,Detroit,MI
160730341,20242,Gale,25770,Huntington,WV
810056195,6136,Declaration,11054,Port Washington,NY
741456975,44,Commercial,40576,Lexington,KY
648912554,5968,Upham,89120,Las Vegas,NV
336725837,5488,Talmadge,1610,Worcester,MA
470522352,42,Old Shore,33647,Tampa,FL
173782224,2742,Ridgeway,25389,Charleston,WV
878137777,7,Shasta,92878,Corona,CA
850229183,63069,Corscot,94164,San Francisco,CA
624049927,93,Stoughton,79928,El Paso,TX
220364623,3519,Blaine,19120,Philadelphia,PA
280399755,76,Summerview,92110,San Diego,CA
854446974,40,Kenwood,17121,Harrisburg,PA
540488557,49756,Vera,31914,Columbus,GA
825123069,949,Cody,78769,Austin,TX
734074282,5912,Porter,33982,Punta Gorda,FL
489570810,282,Kingsford,10270,New York City,NY
947870784,143,Glacier Hill,70810,Baton Rouge,LA
539377870,0,Merry,44118,Cleveland,OH
156565985,8535,Mendota,30336,Atlanta,GA
222592980,3054,Miller,98158,Seattle,WA
676093460,70,Cardinal,19495,Valley Forge,PA
562112170,9,Lakewood Gardens,11436,Jamaica,NY
319705143,169,Becker,35810,Huntsville,AL
359999097,59,Fisk,75205,Dallas,TX
208481462,7987,Hoard,94177,San Francisco,CA
388122394,3197,Veith,34135,Bonita Springs,FL
113985104,1717,Commercial,88589,El Paso,TX
132965437,37,Haas,57188,Sioux Falls,SD
569586187,42453,Harbort,77240,Houston,TX
382466799,1,Scott,61709,Bloomington,IL
188058586,77,Buena Vista,79905,El Paso,TX
222605604,58,Kropf,35231,Birmingham,AL
479125718,4370,Boyd,87505,Santa Fe,NM
955252807,564,Southridge,64187,Kansas City,MO
982654965,2022,Golf Course,2114,Boston,MA
557416737,4,Parkside,85015,Phoenix,AZ
210457947,3412,Derek,2283,Boston,MA
875953683,379,Monterey,80310,Boulder,CO
721398573,32241,Gina,77050,Houston,TX
431716952,9227,Menomonie,29579,Myrtle Beach,SC
550738365,62,Mallory,6152,Hartford,CT
843026943,9007,Acker,78205,San Antonio,TX
395167836,280,Acker,40256,Louisville,KY
656851165,443,Nancy,28410,Wilmington,NC
272243384,218,Meadow Vale,6726,Waterbury,CT
431571742,97961,Talisman,33185,Miami,FL
195251217,56,Dahle,92710,Irvine,CA
822678925,92,Mallory,15250,Pittsburgh,PA
374917737,52,6th,67236,Wichita,KS
512971616,760,Thackeray,25356,Charleston,WV
940656169,863,Leroy,6905,Stamford,CT
898307575,24572,Ronald Regan,75226,Dallas,TX
484049094,8677,Dorton,30506,Gainesville,GA
376790015,78,Lillian,92825,Anaheim,CA
169462154,35,Warrior,22405,Fredericksburg,VA
899410447,6,Lotheville,87505,Santa Fe,NM
247827293,77150,Maple,20470,Washington,DC
166590004,44,Pawling,85255,Scottsdale,AZ
521363784,705,Grim,77015,Houston,TX
171120895,537,Northfield,76598,Gatesville,TX
227446125,8,Westerfield,33487,Boca Raton,FL
461985560,4,Anniversary,95833,Sacramento,CA
121948705,45858,Sauthoff,55573,Young America,MN
468253388,54028,Tennyson,45505,Springfield,OH
234443993,0,Sloan,63150,Saint Louis,MO
932880076,340,Stephen,39204,Jackson,MS
238808224,22,Rockefeller,30919,Augusta,GA
109653182,8,Aberg,37220,Nashville,TN
609783168,4038,Dwight,92186,San Diego,CA
559996625,0,Sugar,37605,Johnson City,TN
667021350,5,Clove,91186,Pasadena,CA
947604462,605,Independence,33034,Homestead,FL
601028472,790,Waubesa,32909,Palm Bay,FL
760993902,26,Summit,71137,Shreveport,LA
101422937,36,Daystar,27605,Raleigh,NC
128000414,210,Kenwood,10170,New York City,NY
281509171,62,Eastwood,39404,Hattiesburg,MS
828157347,3640,5th,68164,Omaha,NE
834335707,435,Pearson,77806,Bryan,TX
968522498,6316,Amoth,99812,Juneau,AK
546197829,9,Marquette,33742,Saint Petersburg,FL
574764187,774,Golf,37919,Knoxville,TN
425389059,65,Schlimgen,21211,Baltimore,MD
509041385,3,Schmedeman,99507,Anchorage,AK
135953305,23,Green,78410,Corpus Christi,TX
788428105,99539,Bultman,39282,Jackson,MS
583709507,7469,Bay,67220,Wichita,KS
825928829,5739,Mandrake,20231,Washington,DC
567594649,1,Iowa,43635,Toledo,OH
536909883,579,North,79928,El Paso,TX
543816474,9,Arrowood,44197,Cleveland,OH
971862992,62,La Follette,32854,Orlando,FL
107132799,641,Old Shore,35231,Birmingham,AL
166427659,88217,Paget,40546,Lexington,KY
430329938,91,Maple,66276,Shawnee Mission,KS
995960664,54387,Clarendon,37919,Knoxville,TN
923377776,25,Ruskin,77212,Houston,TX
696289202,53,Mayer,90055,Los Angeles,CA
417334373,14542,Aberg,20051,Washington,DC
613747695,3927,Arrowood,1114,Springfield,MA
335388047,2,Luster,93740,Fresno,CA
398739726,5,Goodland,90010,Los Angeles,CA
793180905,3,2nd,83757,Boise,ID
728005236,29261,Elmside,20319,Washington,DC
342132996,9,Rowland,71213,Monroe,LA
640238464,117,Hanson,19136,Philadelphia,PA
581728408,3302,Lakewood,55423,Minneapolis,MN
400066713,7018,Weeping Birch,38308,Jackson,TN
778386626,4,Lakewood Gardens,93907,Salinas,CA
325242832,614,Hanover,7544,Paterson,NJ
736328993,298,Shoshone,96805,Honolulu,HI
263079555,8031,Sheridan,68179,Omaha,NE
672476385,92,Roxbury,78205,San Antonio,TX
659767244,35452,Riverside,30351,Atlanta,GA
277825764,5208,Gale,2119,Boston,MA
558794935,71,Lakeland,98140,Seattle,WA
508604974,8,Carpenter,67236,Wichita,KS
389741886,641,Mandrake,19725,Newark,DE
388960919,9715,Vidon,45490,Dayton,OH
247142586,976,Rockefeller,88574,El Paso,TX
896030130,67,Johnson,75231,Dallas,TX
686896772,4,Vahlen,95054,Santa Clara,CA
153251982,7,Pepper Wood,33994,Fort Myers,FL
567173422,72381,Brown,6726,Waterbury,CT
981778983,971,Brentwood,37245,Nashville,TN
155677571,1534,Farmco,20046,Washington,DC
885066907,7,Packers,75372,Dallas,TX
537296369,7098,Meadow Valley,11388,Flushing,NY
666370982,44644,Chinook,79116,Amarillo,TX
850218846,55,Oriole,33325,Fort Lauderdale,FL
183067401,71024,Nobel,48232,Detroit,MI
668432911,2,Fisk,22093,Ashburn,VA
415836272,95854,Goodland,94064,Redwood City,CA
185265322,67,South,75044,Garland,TX
590393855,81,Dryden,27717,Durham,NC
641019104,4,Warner,94064,Redwood City,CA
722017257,7377,Rigney,13251,Syracuse,NY
559731853,34,Michigan,77386,Spring,TX
813033022,5,Texas,94522,Concord,CA
629944027,40,Lindbergh,14639,Rochester,NY
762694749,323,Havey,98464,Tacoma,WA
640649128,6,Pawling,64130,Kansas City,MO
750727789,20624,Crescent Oaks,80935,Colorado Springs,CO
894661232,92299,Delladonna,91505,Burbank,CA
101635492,12383,Monument,87190,Albuquerque,NM
559849779,70,Namekagon,27690,Raleigh,NC
960081647,21,Ronald Regan,94302,Palo Alto,CA
201793201,217,Schlimgen,21229,Baltimore,MD
679792733,60440,Towne,11254,Brooklyn,NY
738310921,4805,Buena Vista,91328,Northridge,CA
158610411,68,Aberg,23260,Richmond,VA
333520574,8874,Mifflin,29605,Greenville,SC
933425584,566,Bellgrove,20067,Washington,DC
520098170,343,Darwin,92176,San Diego,CA
773710679,22164,Westport,44710,Canton,OH
341271400,5968,Mcbride,27415,Greensboro,NC
376729497,61,Troy,20062,Washington,DC
397230592,3,Sullivan,33777,Largo,FL
134868312,87,Gale,78225,San Antonio,TX
593709831,2,Stang,77025,Houston,TX
869357309,6166,Manley,38188,Memphis,TN
786461872,7001,Crest Line,71213,Monroe,LA
438947719,104,Amoth,44310,Akron,OH
616696529,3793,Helena,11447,Jamaica,NY
816459770,43997,Gale,10024,New York City,NY
290322716,1,Jenna,76129,Fort Worth,TX
786281088,52,Oak,84140,Salt Lake City,UT
459296876,6,Nobel,1114,Springfield,MA
109186387,32,Lunder,33758,Clearwater,FL
975910067,14730,Lighthouse Bay,48232,Detroit,MI
145592530,91423,Little Fleur,77260,Houston,TX
850421985,6,Weeping Birch,55123,Saint Paul,MN
768675317,312,Warbler,19805,Wilmington,DE
580468602,97,Sloan,23293,Richmond,VA
623910055,5,Surrey,20508,Washington,DC
610878723,6,Heath,49444,Muskegon,MI
989463716,42093,Crest Line,75236,Dallas,TX
890676217,188,Lillian,75185,Mesquite,TX
438244168,83,Starling,80209,Denver,CO
260473627,9975,Commercial,23509,Norfolk,VA
191587468,84724,Kropf,43699,Toledo,OH
848717678,5046,Myrtle,20220,Washington,DC
172145204,88,Commercial,25356,Charleston,WV
374569645,888,Portage,38131,Memphis,TN
961070637,51,Charing Cross,70129,New Orleans,LA
537511264,357,Donald,68105,Omaha,NE
814958924,5420,Forest Dale,2203,Boston,MA
